x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89656.0105557,43129.1674233,0,0,0,0,0,12.758
89655.7206607,43128.1644067,0,0,0,0,0,12.759
89655.3652103,43127.2445136,0,0,0,0,0,12.718
89654.9422936,43126.3778596,0,0,0,0,0,11.435
89654.4251314,43125.5474443,0,0,0,0,0,10.601
89653.7867923,43124.7544406,0,0,0,0,0,11.683
89653.0732616,43124.0397814,0,0,0,0,0,11.753
89652.2877217,43123.4039805,0,0,0,0,0,9.907
89651.4258797,43122.8941427,0,0,0,0,0,9.347
89650.5146936,43122.5243756,0,0,0,0,0,19.218
89649.6046290,43122.1953962,0,0,0,0,0,27.854
89648.6998426,43121.8617750,0,0,0,0,0,13.376
89647.6978499,43121.5777151,0,0,0,0,0,10.075
89646.7451893,43121.4375861,0,0,0,0,0,10.498
89645.7527234,43121.4169254,0,0,0,0,0,10.902
89644.7147650,43121.5208185,0,0,0,0,0,10.963
89643.7233646,43121.7398429,0,0,0,0,0,12.084
89642.7610882,43122.0541308,0,0,0,0,0,13.231
89641.8403254,43122.4400795,0,0,0,0,0,13.810
89640.9245537,43122.9069584,0,0,0,0,0,15.009
89640.0399618,43123.4300059,0,0,0,0,0,21.241
89639.2315955,43123.9416315,0,0,0,0,0,31.021
89638.3981881,43124.4549307,0,0,0,0,0,23.156
89637.5479902,43124.9504033,0,0,0,0,0,44.873
89636.6896976,43125.4426144,0,0,0,0,0,37.096
89635.8607474,43125.9280019,0,0,0,0,0,27.586
89634.9905974,43126.4589872,0,0,0,0,0,23.718
89634.1319906,43127.0131839,0,0,0,0,0,22.009
89633.3157241,43127.5742469,0,0,0,0,0,21.119
89632.5024390,43128.1718401,0,0,0,0,0,19.951
89631.7084370,43128.8000582,0,0,0,0,0,19.050
89630.9461178,43129.4525929,0,0,0,0,0,19.054
89630.2130275,43130.1308950,0,0,0,0,0,18.958
89629.5093671,43130.8346538,0,0,0,0,0,18.918
89628.8277570,43131.5712957,0,0,0,0,0,19.724
89628.1768987,43132.3275534,0,0,0,0,0,20.781
89627.5524525,43133.1023587,0,0,0,0,0,22.124
89626.9471066,43133.8991138,0,0,0,0,0,23.477
89626.3629942,43134.7098712,0,0,0,0,0,25.116
89625.7977505,43135.5322733,0,0,0,0,0,27.158
89625.2465050,43136.3677284,0,0,0,0,0,30.154
89624.7090785,43137.2101761,0,0,0,0,0,34.478
89624.1824426,43138.0575209,0,0,0,0,0,41.496
89623.6608519,43138.9123706,0,0,0,0,0,52.211
89623.1446671,43139.7682188,0,0,0,0,0,60.000
89622.6314651,43140.6232050,0,0,0,0,0,60.000
89622.1155102,43141.4810688,0,0,0,0,0,60.000
89621.5973961,43142.3354060,0,0,0,0,0,46.691
89621.0745781,43143.1851640,0,0,0,0,0,39.057
89620.5427315,43144.0325324,0,0,0,0,0,36.591
89620.0025885,43144.8734586,0,0,0,0,0,34.575
89619.4534228,43145.7068288,0,0,0,0,0,32.829
89618.8941770,43146.5342702,0,0,0,0,0,47.373
89618.3297534,43147.3582662,0,0,0,0,0,60.000
89617.7650015,43148.1840433,0,0,0,0,0,42.773
89617.2106854,43149.0075760,0,0,0,0,0,32.635
89616.6641271,43149.8429487,0,0,0,0,0,27.628
89616.1285691,43150.6952687,0,0,0,0,0,24.603
89615.6203896,43151.5485169,0,0,0,0,0,20.778
89615.1368479,43152.4235649,0,0,0,0,0,18.267
89614.6884622,43153.3223426,0,0,0,0,0,16.460
89614.2929863,43154.2287994,0,0,0,0,0,15.244
89613.9504598,43155.1620243,0,0,0,0,0,14.440
89613.6671474,43156.1301694,0,0,0,0,0,13.961
89613.4537890,43157.1224529,0,0,0,0,0,13.220
89613.3226394,43158.1274863,0,0,0,0,0,11.926
89613.2927971,43159.1196381,0,0,0,0,0,10.408
89613.3972861,43160.1500685,0,0,0,0,0,10.359
89613.6417760,43161.1708947,0,0,0,0,0,12.711
89613.9361505,43162.0553822,0,0,0,0,0,22.940
89614.2931550,43162.9864577,0,0,0,0,0,8.311
89614.7945207,43163.7970393,0,0,0,0,0,6.790
89615.5246963,43164.4732701,0,0,0,0,0,9.152
89616.3939940,43165.0217014,0,0,0,0,0,7.826
89617.3308740,43165.3297620,0,0,0,0,0,6.871
89618.3041665,43165.3971185,0,0,0,0,0,15.502
89619.1986251,43165.4517076,0,0,0,0,0,12.564
89620.2093588,43165.4354055,0,0,0,0,0,8.837
89621.2507828,43165.2304220,0,0,0,0,0,9.680
89622.1654536,43164.8968469,0,0,0,0,0,11.952
89623.0939418,43164.4481326,0,0,0,0,0,13.213
89623.9795738,43163.9238480,0,0,0,0,0,12.981
89624.8274072,43163.3169576,0,0,0,0,0,12.252
89625.5780714,43162.6644622,0,0,0,0,0,12.097
89626.2469967,43161.9635306,0,0,0,0,0,12.548
89626.8653633,43161.1917069,0,0,0,0,0,13.436
89627.4286160,43160.3652705,0,0,0,0,0,14.394
89627.9346137,43159.5026944,0,0,0,0,0,15.397
89628.3888645,43158.6113396,0,0,0,0,0,16.436
89628.7957562,43157.6991472,0,0,0,0,0,17.830
89629.1618638,43156.7708040,0,0,0,0,0,19.793
89629.4944943,43155.8302656,0,0,0,0,0,22.162
89629.8004742,43154.8797666,0,0,0,0,0,25.014
89630.0856695,43153.9207913,0,0,0,0,0,29.229
89630.3550221,43152.9575705,0,0,0,0,0,36.977
89630.6142313,43151.9926947,0,0,0,0,0,60.000
89630.8698701,43151.0264437,0,0,0,0,0,60.000
89631.1281612,43150.0603463,0,0,0,0,0,39.798
89631.3950206,43149.0963667,0,0,0,0,0,30.761
89631.6758218,43148.1374393,0,0,0,0,0,25.920
89631.9762407,43147.1854787,0,0,0,0,0,22.640
89632.3027866,43146.2415157,0,0,0,0,0,20.089
89632.6617408,43145.3096330,0,0,0,0,0,18.291
89633.0600586,43144.3918621,0,0,0,0,0,16.978
