x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89656.0105557,43129.1674233,0,0,0,0,0,14.863
89655.7206607,43128.1644067,0,0,0,0,0,14.864
89655.3652103,43127.2445136,0,0,0,0,0,14.816
89654.9422936,43126.3778596,0,0,0,0,0,13.321
89654.4251314,43125.5474443,0,0,0,0,0,12.350
89653.7867923,43124.7544406,0,0,0,0,0,13.610
89653.0732616,43124.0397814,0,0,0,0,0,13.692
89652.2877217,43123.4039805,0,0,0,0,0,11.541
89651.4258797,43122.8941427,0,0,0,0,0,10.889
89650.5146936,43122.5243756,0,0,0,0,0,22.388
89649.604629,43122.1953962,0,0,0,0,0,32.448
89648.6998426,43121.861775,0,0,0,0,0,15.582
89647.6978499,43121.5777151,0,0,0,0,0,11.737
89646.7451893,43121.4375861,0,0,0,0,0,12.230
89645.7527234,43121.4169254,0,0,0,0,0,12.701
89644.714765,43121.5208185,0,0,0,0,0,12.771
89643.7233646,43121.7398429,0,0,0,0,0,14.077
89642.7610882,43122.0541308,0,0,0,0,0,15.414
89641.8403254,43122.4400795,0,0,0,0,0,16.088
89640.9245537,43122.9069584,0,0,0,0,0,17.485
89640.0399618,43123.4300059,0,0,0,0,0,24.745
89639.2315955,43123.9416315,0,0,0,0,0,36.139
89638.3981881,43124.4549307,0,0,0,0,0,26.976
89637.5479902,43124.9504033,0,0,0,0,0,52.275
89636.6896976,43125.4426144,0,0,0,0,0,43.216
89635.8607474,43125.9280019,0,0,0,0,0,32.137
89634.9905974,43126.4589872,0,0,0,0,0,27.630
89634.1319906,43127.0131839,0,0,0,0,0,25.640
89633.3157241,43127.5742469,0,0,0,0,0,24.603
89632.502439,43128.1718401,0,0,0,0,0,23.242
89631.708437,43128.8000582,0,0,0,0,0,22.192
89630.9461178,43129.4525929,0,0,0,0,0,22.197
89630.2130275,43130.130895,0,0,0,0,0,22.086
89629.5093671,43130.8346538,0,0,0,0,0,22.039
89628.827757,43131.5712957,0,0,0,0,0,22.978
89628.1768987,43132.3275534,0,0,0,0,0,24.209
89627.5524525,43133.1023587,0,0,0,0,0,25.774
89626.9471066,43133.8991138,0,0,0,0,0,27.350
89626.3629942,43134.7098712,0,0,0,0,0,29.259
89625.7977505,43135.5322733,0,0,0,0,0,31.638
89625.246505,43136.3677284,0,0,0,0,0,35.129
89624.7090785,43137.2101761,0,0,0,0,0,40.166
89624.1824426,43138.0575209,0,0,0,0,0,48.341
89623.6608519,43138.9123706,0,0,0,0,0,60.000
89623.1446671,43139.7682188,0,0,0,0,0,60.000
89622.6314651,43140.623205,0,0,0,0,0,60.000
89622.1155102,43141.4810688,0,0,0,0,0,60.000
89621.5973961,43142.335406,0,0,0,0,0,54.393
89621.0745781,43143.185164,0,0,0,0,0,45.500
89620.5427315,43144.0325324,0,0,0,0,0,42.627
89620.0025885,43144.8734586,0,0,0,0,0,40.279
89619.4534228,43145.7068288,0,0,0,0,0,38.245
89618.894177,43146.5342702,0,0,0,0,0,55.187
89618.3297534,43147.3582662,0,0,0,0,0,60.000
89617.7650015,43148.1840433,0,0,0,0,0,49.829
89617.2106854,43149.007576,0,0,0,0,0,38.018
