x,y,kappa
89656.0105557,43129.1674233,-0.0860099
89655.7206607,43128.1644067,-0.0860025
89655.3652103,43127.2445136,-0.0865542
89654.9422936,43126.3778596,-0.1070737
89654.4251314,43125.5474443,-0.1245795
89653.7867923,43124.7544406,-0.1025684
89653.0732616,43124.0397814,-0.1013507
89652.2877217,43123.4039805,-0.1426549
89651.4258797,43122.8941427,-0.1602356
89650.5146936,43122.5243756,-0.0379081
89649.604629,43122.1953962,0.0180454
89648.6998426,43121.861775,-0.0782494
89647.6978499,43121.5777151,-0.1379137
89646.7451893,43121.4375861,-0.1270335
89645.7527234,43121.4169254,-0.11779
89644.714765,43121.5208185,-0.1164952
89643.7233646,43121.7398429,-0.0958766
89642.7610882,43122.0541308,-0.0799737
89641.8403254,43122.4400795,-0.0734126
89640.9245537,43122.9069584,-0.0621476
89640.0399618,43123.4300059,-0.0310305
89639.2315955,43123.9416315,0.0145483
89638.3981881,43124.4549307,0.0261095
89637.5479902,43124.9504033,0.0069528
89636.6896976,43125.4426144,-0.0101735
89635.8607474,43125.9280019,-0.0183969
89634.9905974,43126.4589872,-0.0248876
89634.1319906,43127.0131839,-0.0289016
89633.3157241,43127.5742469,-0.031389
89632.502439,43128.1718401,-0.0351725
89631.708437,43128.8000582,-0.0385794
89630.9461178,43129.4525929,-0.0385609
89630.2130275,43130.130895,-0.0389521
89629.5093671,43130.8346538,-0.0391161
89628.827757,43131.5712957,-0.0359866
89628.1768987,43132.3275534,-0.0324197
89627.5524525,43133.1023587,-0.0286023
89626.9471066,43133.8991138,-0.0253996
89626.3629942,43134.7098712,-0.0221932
89625.7977505,43135.5322733,-0.018982
89625.246505,43136.3677284,-0.0153969
89624.7090785,43137.2101761,-0.0117773
89624.1824426,43138.0575209,-0.0081306
89623.6608519,43138.9123706,-0.0051358
89623.1446671,43139.7682188,-0.0021195
89622.6314651,43140.623205,0.0009287
89622.1155102,43141.4810688,0.0036702
89621.5973961,43142.335406,0.006422
89621.0745781,43143.185164,0.0091775
89620.5427315,43144.0325324,0.0104566
89620.0025885,43144.8734586,0.0117113
89619.4534228,43145.7068288,0.0129899
89618.894177,43146.5342702,0.0062384
89618.3297534,43147.3582662,-0.0007381
89617.7650015,43148.1840433,-0.0076521
89617.2106854,43149.007576,-0.0131452
89616.6641271,43149.8429487,-0.0183419
89616.1285691,43150.6952687,-0.0231291
89615.6203896,43151.5485169,-0.0324269
89615.1368479,43152.4235649,-0.0419556
89614.6884622,43153.3223426,-0.051674
89614.2929863,43154.2287994,-0.0602466
89613.9504598,43155.1620243,-0.0671394
89613.6671474,43156.1301694,-0.071828
89613.453789,43157.1224529,-0.0801003
89613.3226394,43158.1274863,-0.0984402
89613.2927971,43159.1196381,-0.1292466
89613.3972861,43160.1500685,-0.1304691
89613.641776,43161.1708947,-0.0866491
89613.9361505,43162.0553822,-0.0266039
89614.293155,43162.9864577,-0.20269
89614.7945207,43163.7970393,-0.3036921
89615.5246963,43164.4732701,-0.1671575
89616.393994,43165.0217014,-0.2285864
89617.330874,43165.329762,-0.2965298
89618.3041665,43165.3971185,0.0582598
89619.1986251,43165.4517076,-0.0886911
89620.2093588,43165.4354055,-0.1792721
